gain	0	1	-78.40
gain	1	0	-71.45
gain	0	2	-95.28
gain	2	0	-91.00
gain	0	3	-87.38
gain	3	0	-80.78
gain	0	4	-90.21
gain	4	0	-81.51
gain	0	5	-69.01
gain	5	0	-65.33
gain	0	6	-94.90
gain	6	0	-88.63
gain	0	7	-97.06
gain	7	0	-90.53
gain	0	8	-98.09
gain	8	0	-96.77
gain	0	9	-97.00
gain	9	0	-92.74
gain	0	10	-101.05
gain	10	0	-94.29
gain	0	11	-99.10
gain	11	0	-94.21
gain	0	12	-84.19
gain	12	0	-78.01
gain	0	13	-92.10
gain	13	0	-85.16
gain	0	14	-89.04
gain	14	0	-80.86
gain	0	15	-86.63
gain	15	0	-78.95
gain	0	16	-86.14
gain	16	0	-81.88
gain	0	17	-88.35
gain	17	0	-78.57
gain	0	18	-54.24
gain	18	0	-45.91
gain	0	19	-75.33
gain	19	0	-70.88
gain	0	20	-103.33
gain	20	0	-99.11
gain	0	21	-90.26
gain	21	0	-81.75
gain	0	22	-86.16
gain	22	0	-82.61
gain	0	23	-91.47
gain	23	0	-86.12
gain	0	24	-92.91
gain	24	0	-91.11
gain	0	25	-100.02
gain	25	0	-93.34
gain	0	26	-90.83
gain	26	0	-86.26
gain	0	27	-79.65
gain	27	0	-74.93
gain	0	28	-95.89
gain	28	0	-92.24
gain	0	29	-99.51
gain	29	0	-86.88
gain	0	30	-89.27
gain	30	0	-82.56
gain	0	31	-91.33
gain	31	0	-89.75
gain	0	32	-86.57
gain	32	0	-84.92
gain	0	33	-92.34
gain	33	0	-89.53
gain	0	34	-92.87
gain	34	0	-86.14
gain	0	35	-98.05
gain	35	0	-96.57
gain	0	36	-84.07
gain	36	0	-79.45
gain	0	37	-96.61
gain	37	0	-88.00
gain	0	38	-96.93
gain	38	0	-90.23
gain	0	39	-97.33
gain	39	0	-92.67
gain	1	2	-85.08
gain	2	1	-87.75
gain	1	3	-77.99
gain	3	1	-78.33
gain	1	4	-87.85
gain	4	1	-86.11
gain	1	5	-58.96
gain	5	1	-62.23
gain	1	6	-88.09
gain	6	1	-88.77
gain	1	7	-80.46
gain	7	1	-80.89
gain	1	8	-89.29
gain	8	1	-94.92
gain	1	9	-82.26
gain	9	1	-84.96
gain	1	10	-86.98
gain	10	1	-87.17
gain	1	11	-79.52
gain	11	1	-81.58
gain	1	12	-79.62
gain	12	1	-80.39
gain	1	13	-93.38
gain	13	1	-93.39
gain	1	14	-77.04
gain	14	1	-75.81
gain	1	15	-74.32
gain	15	1	-73.59
gain	1	16	-77.17
gain	16	1	-79.87
gain	1	17	-86.06
gain	17	1	-83.23
gain	1	18	-69.65
gain	18	1	-68.27
gain	1	19	-83.11
gain	19	1	-85.61
gain	1	20	-85.97
gain	20	1	-88.70
gain	1	21	-94.44
gain	21	1	-92.88
gain	1	22	-78.25
gain	22	1	-81.65
gain	1	23	-68.23
gain	23	1	-69.83
gain	1	24	-87.17
gain	24	1	-92.33
gain	1	25	-93.99
gain	25	1	-94.26
gain	1	26	-78.91
gain	26	1	-81.29
gain	1	27	-57.19
gain	27	1	-59.41
gain	1	28	-86.52
gain	28	1	-89.82
gain	1	29	-86.38
gain	29	1	-80.70
gain	1	30	-70.40
